City,Country,Lat,Lng,Date,Cloudiness,Humidity,Max Temp,Wind Speed
cherskiy,RU,68.75,161.3,1553755794.0,32.0,58.0,2.15,6.51
yellowknife,CA,62.45,-114.38,1553755724.0,90.0,92.0,21.99,9.17
bredasdorp,ZA,-34.53,20.04,1553755577.0,36.0,77.0,66.2,8.05
hobart,AU,-42.88,147.33,1553755516.0,0.0,40.0,73.0,12.75
pangody,RU,65.85,74.49,1553755795.0,12.0,93.0,24.74,9.31
hermanus,ZA,-34.42,19.24,1553755615.0,36.0,86.0,66.0,3.0
busselton,AU,-33.64,115.35,1553755606.0,8.0,24.0,73.0,18.7
saint-leu,RE,-21.15,55.28,1553755568.0,40.0,62.0,89.6,14.99
lata,IN,30.78,78.62,1553755797.0,12.0,68.0,61.82,1.59
avarua,CK,-21.21,-159.78,1553754600.0,48.0,88.0,80.6,2.24
norman wells,CA,65.28,-126.83,1553752800.0,90.0,86.0,37.4,13.87
luanda,AO,-8.83,13.24,1553752800.0,40.0,88.0,80.6,4.7
berlevag,NO,70.86,29.09,1553752200.0,90.0,100.0,32.0,29.97
albany,US,42.65,-73.75,1553755750.0,75.0,47.0,35.6,14.99
dobryatino,RU,55.51,41.32,1553755800.0,76.0,96.0,24.65,4.72
mount gambier,AU,-37.83,140.78,1553752800.0,40.0,49.0,73.4,12.75
benguela,AO,-12.58,13.4,1553755800.0,36.0,100.0,79.64,2.04
dubbo,AU,-32.25,148.6,1553752800.0,75.0,41.0,78.8,4.7
iqaluit,CA,63.75,-68.52,1553752800.0,75.0,71.0,5.0,12.75
guanare,VE,9.04,-69.74,1553755801.0,0.0,64.0,75.86,3.71
berdigestyakh,RU,62.1,126.7,1553755802.0,0.0,53.0,19.34,3.83
port alfred,ZA,-33.59,26.89,1553755802.0,20.0,76.0,69.65,11.77
rikitea,PF,-23.12,-134.97,1553755803.0,68.0,100.0,76.22,6.29
kodiak,US,39.95,-94.76,1553755758.0,90.0,65.0,61.0,9.17
broome,GB,52.47,1.45,1553755791.0,75.0,81.0,46.99,3.36
conakry,GN,9.52,-13.7,1553752800.0,40.0,83.0,77.0,4.38
punta arenas,CL,-53.16,-70.91,1553755347.0,20.0,86.0,33.8,4.7
new norfolk,AU,-42.78,147.06,1553755755.0,0.0,40.0,72.0,12.75
mont-de-marsan,FR,43.89,-0.5,1553755781.0,0.0,68.0,48.99,3.83
north platte,US,41.12,-100.77,1553755802.0,1.0,70.0,48.2,3.36
mogadishu,SO,2.04,45.34,1553752800.0,75.0,66.0,86.0,6.93
saint-philippe,CA,45.36,-73.48,1553755805.0,1.0,32.0,37.4,8.05
kapaa,US,22.08,-159.32,1553755710.0,20.0,78.0,73.4,6.62
ancud,CL,-41.87,-73.83,1553752800.0,90.0,100.0,44.6,2.24
mataura,NZ,-46.19,168.86,1553755807.0,0.0,74.0,57.99,3.71
awjilah,LY,29.14,21.3,1553755809.0,20.0,40.0,66.14,16.02
namibe,AO,-15.19,12.15,1553755809.0,12.0,98.0,78.02,6.29
vaini,IN,15.34,74.49,1553752800.0,0.0,35.0,89.6,3.36
bolekhiv,UA,49.07,23.86,1553755669.0,0.0,52.0,42.01,6.71
porto novo,BR,-23.68,-45.44,1553752800.0,75.0,94.0,68.0,4.7
timizart,DZ,36.8,4.25,1553755625.0,8.0,55.0,51.01,5.01
tual,ID,-5.67,132.75,1553755811.0,48.0,100.0,80.63,16.91
ushuaia,AR,-54.81,-68.31,1553755643.0,12.0,100.0,33.74,5.61
pulandian,CN,39.4,121.96,1553752800.0,40.0,22.0,46.4,8.95
tabuk,PH,17.41,121.44,1553755812.0,56.0,39.0,88.1,2.04
half moon bay,US,37.46,-122.43,1553755811.0,75.0,87.0,55.4,9.17
tubinskiy,RU,52.89,58.22,1553752800.0,80.0,100.0,26.6,11.18
bell ville,AR,-32.63,-62.69,1553755813.0,44.0,75.0,62.18,11.21
vostok,RU,46.45,135.83,1553755813.0,68.0,48.0,22.13,4.94
caravelas,BR,-17.73,-39.27,1553755814.0,64.0,100.0,80.9,19.26
tiksi,RU,71.64,128.87,1553755814.0,8.0,68.0,15.65,14.12
ilulissat,GL,69.22,-51.1,1553752200.0,68.0,65.0,8.6,16.11
bluff,AU,-23.58,149.07,1553755815.0,100.0,98.0,71.54,12.1
sitka,US,37.17,-99.65,1553755548.0,0.0,74.0,62.01,11.01
waipawa,NZ,-39.94,176.59,1553754737.0,64.0,76.0,59.0,1.99
lebu,ET,8.96,38.73,1553752800.0,40.0,72.0,64.4,13.87
dikson,RU,73.51,80.55,1553755816.0,76.0,100.0,24.38,35.93
grand gaube,MU,-20.01,57.66,1553755745.0,75.0,74.0,87.01,9.17
saldanha,PT,41.42,-6.55,1553755816.0,0.0,54.0,39.5,9.64
jining,CN,35.41,116.58,1553755817.0,36.0,45.0,64.97,10.54
fortuna,ES,38.18,-1.13,1553755816.0,0.0,86.0,50.0,2.24
souillac,FR,45.6,-0.6,1553755688.0,0.0,86.0,43.0,5.82
longyearbyen,NO,78.22,15.63,1553752200.0,75.0,67.0,21.2,28.86
beringovskiy,RU,63.05,179.32,1553755819.0,0.0,86.0,22.22,10.09
cape town,ZA,-33.93,18.42,1553755566.0,40.0,93.0,64.0,5.82
bethel,US,60.79,-161.76,1553752560.0,90.0,86.0,33.8,3.36
laranjeiras do sul,BR,-25.41,-52.42,1553755820.0,12.0,83.0,65.24,6.06
ruteng,ID,-8.61,120.46,1553755820.0,88.0,90.0,78.2,3.15
